기준_년분기_코드,상권_코드,상권_코드_명,자치구,상권유형,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,p_순감소,예측_개업건수,예측_폐업건수,예측_개업률,예측_폐업률
20261,3110150,중곡1동 마을마당,광진구,골목상권,CS100001,한식음식점,25,0.31945453161489984,1.0877621816513727,1.0689578610873514,4.351048726605491,4.275831444349405
20261,3110150,중곡1동 마을마당,광진구,골목상권,CS100004,양식음식점,9,0.24133508958841904,0.36528412892491297,0.4598156714264658,4.058712543610144,5.10906301584962
20261,3110150,중곡1동 마을마당,광진구,골목상권,CS100009,호프-간이주점,16,0.32102991462859914,0.45450407049384317,0.7047241900689621,2.84065044058652,4.404526187931014
20261,3110150,중곡1동 마을마당,광진구,골목상권,CS100010,커피-음료,15,0.32124232889741117,0.6673878388867167,0.7939684293589107,4.449252259244778,5.293122862392738
20261,3110151,자양한강도서관,광진구,골목상권,CS100001,한식음식점,37,0.3724949058867944,1.4905007523467808,1.5825899070358989,4.028380411748056,4.277270019015942
20261,3110151,자양한강도서관,광진구,골목상권,CS100004,양식음식점,5,0.18347879723839278,0.2017363960890113,0.2388974672954848,4.0347279217802265,4.777949345909696
20261,3110151,자양한강도서관,광진구,골목상권,CS100009,호프-간이주점,11,0.2399081776519201,0.3216651359945178,0.4631619056424148,2.924228509041071,4.2105627785674065
20261,3110151,자양한강도서관,광진구,골목상권,CS100010,커피-음료,10,0.20851375270312586,0.4697952089300372,0.5066359861370135,4.6979520893003714,5.0663598613701355
20261,3110152,중곡어린이공원,광진구,골목상권,CS100001,한식음식점,7,0.1205029113240121,0.25194076315769265,0.277917204762361,3.599153759395609,3.9702457823194424
20261,3110152,중곡어린이공원,광진구,골목상권,CS100007,치킨전문점,5,0.14623784969595027,0.1286821689345997,0.27452269861424394,2.573643378691994,5.490453972284879
20261,3110152,중곡어린이공원,광진구,골목상권,CS100010,커피-음료,5,0.21809766708848496,0.18936527677187226,0.25020090612345397,3.787305535437445,5.00401812246908
20261,3110153,중곡1동주민센터,광진구,골목상권,CS100009,호프-간이주점,6,0.13113806534037548,0.15090721727441483,0.26641021973978485,2.515120287906914,4.440170328996414
20261,3110153,중곡1동주민센터,광진구,골목상권,CS100010,커피-음료,5,0.1447544224405179,0.19302906975646675,0.26354335799384077,3.8605813951293353,5.270867159876815
20261,3110154,광진정말공원,광진구,골목상권,CS100001,한식음식점,32,0.36056722497355637,1.2918848796051448,1.373033645435414,4.037140248766077,4.2907301419856685
20261,3110154,광진정말공원,광진구,골목상권,CS100009,호프-간이주점,7,0.15084845329949728,0.21391476715722293,0.2903239101257206,3.055925245103185,4.147484430367437
20261,3110154,광진정말공원,광진구,골목상권,CS100010,커피-음료,11,0.2695158814444117,0.49105357353908585,0.5654237924266516,4.464123395809871,5.140216294787742
20261,3110155,광진구청,광진구,골목상권,CS100001,한식음식점,20,0.2939998987424838,0.8580052281897667,0.850579894979026,4.290026140948833,4.25289947489513
20261,3110155,광진구청,광진구,골목상권,CS100010,커피-음료,13,0.3598745429667109,0.5760505196470966,0.6897788034579206,4.4311578434392045,5.305990795830159
20261,3110156,군자역 5번,광진구,골목상권,CS100001,한식음식점,17,0.2989369891783717,0.7405310974009478,0.7505379972399554,4.356065278829105,4.414929395529149
20261,3110156,군자역 5번,광진구,골목상권,CS100010,커피-음료,9,0.1995916279141094,0.39541408613288137,0.48604866591165935,4.393489845920904,5.400540732351771
20261,3110157,자양동우체국,광진구,골목상권,CS100001,한식음식점,13,0.2037412267931957,0.5653102383517258,0.5434502299456303,4.348540295013275,4.180386384197156
20261,3110157,자양동우체국,광진구,골목상권,CS100007,치킨전문점,5,0.16926564413354644,0.1451892965249649,0.27248626198133685,2.903785930499298,5.449725239626737
20261,3110157,자양동우체국,광진구,골목상권,CS100009,호프-간이주점,9,0.2229236212792141,0.25180557211830323,0.38915303188069306,2.7978396902033693,4.323922576452145
20261,3110157,자양동우체국,광진구,골목상권,CS100010,커피-음료,12,0.27333341241221065,0.5414008156409257,0.643926264134144,4.511673463674381,5.366052201117866
20261,3110158,중곡3동주민센터,광진구,골목상권,CS100001,한식음식점,34,0.31625847945416286,1.4873323619805012,1.397516554363887,4.374506947001474,4.110342806952609
20261,3110158,중곡3동주민센터,광진구,골목상권,CS100007,치킨전문점,7,0.28286387889109926,0.21916395803143165,0.36057472246791994,3.1309136861633093,5.151067463827428
20261,3110158,중곡3동주민센터,광진구,골목상권,CS100009,호프-간이주점,21,0.4269187157692508,0.599675962279981,0.8866330017274866,2.8555998203808617,4.222061912988032
20261,3110158,중곡3동주민센터,광진구,골목상권,CS100010,커피-음료,9,0.20424625089236179,0.46256964765073505,0.4379279674089629,5.139662751674834,4.865866304544032
20261,3110159,구의역 4번,광진구,골목상권,CS100001,한식음식점,43,0.3666469664121704,1.8974018750881585,1.8642957082221008,4.41256250020502,4.335571414470002
20261,3110159,구의역 4번,광진구,골목상권,CS100002,중식음식점,6,0.1764256417860981,0.2578125499772,0.3106982895041419,4.296875832953333,5.1783048250690324
20261,3110159,구의역 4번,광진구,골목상권,CS100004,양식음식점,7,0.22780510854082053,0.2963276987387567,0.3419102566722695,4.233252839125096,4.884432238175278
20261,3110159,구의역 4번,광진구,골목상권,CS100007,치킨전문점,6,0.21438668734799138,0.20094263140782043,0.3188071428768127,3.349043856797007,5.313452381280212
20261,3110159,구의역 4번,광진구,골목상권,CS100008,분식전문점,8,0.24711161044527824,0.33294669107197644,0.4127445048080243,4.161833638399705,5.1593063101003045
20261,3110159,구의역 4번,광진구,골목상권,CS100009,호프-간이주점,11,0.30686250410151744,0.3486675882405737,0.46320885006001533,3.169705347641579,4.210989546000139
20261,3110159,구의역 4번,광진구,골목상권,CS100010,커피-음료,16,0.297516407116383,0.7711797604126119,0.8347791155066927,4.819873502578824,5.21736947191683
20261,3110161,중곡역 3번,광진구,골목상권,CS100001,한식음식점,31,0.38035159513908934,1.1520835953759645,1.2359248409676002,3.7163986947611756,3.986854325701936
20261,3110161,중곡역 3번,광진구,골목상권,CS100005,제과점,5,0.11673139062390198,0.1567847413025075,0.21609809776460204,3.1356948260501496,4.32196195529204
20261,3110161,중곡역 3번,광진구,골목상권,CS100006,패스트푸드점,5,0.2125877435351528,0.16788416511041304,0.27826517389262606,3.357683302208261,5.565303477852521
20261,3110161,중곡역 3번,광진구,골목상권,CS100009,호프-간이주점,10,0.21348049500901356,0.25965148839841123,0.39282573488694617,2.5965148839841126,3.928257348869461
20261,3110161,중곡역 3번,광진구,골목상권,CS100010,커피-음료,9,0.2629520446792756,0.39144829038292484,0.4276503997937802,4.349425448699165,4.75167110881978
20261,3110162,군자역 4번,광진구,골목상권,CS100001,한식음식점,10,0.16888497937556235,0.37808996760421554,0.40730669319806895,3.780899676042156,4.073066931980689
20261,3110162,군자역 4번,광진구,골목상권,CS100008,분식전문점,6,0.19853604439331488,0.19946282251899256,0.3158659753606849,3.324380375316543,5.264432922678082
20261,3110163,성자초등학교,광진구,골목상권,CS100001,한식음식점,13,0.24366187619678242,0.5102121114133737,0.516573369539224,3.924708549333644,3.9736413041478764
20261,3110163,성자초등학교,광진구,골목상권,CS100003,일식음식점,5,0.11578618551008783,0.15725415392858927,0.2434981810330932,3.145083078571785,4.869963620661864
